request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,777.1,affordable_with_plan,partial_payment,2025-02-03:777.1|2025-02-03:104.46,2025-02-03,none,Pay USD 777.1 today and the remaining USD 104.46 on 2025-02-03. This completes the full request and keeps the USD 2100 minimum protected.
request_57,14724.02,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 61446 by 2026-06-15. Although ZAR 14724.02 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 42700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,32828.74,affordable_with_plan,partial_payment,2026-07-07:32828.74|2026-07-07:311071.26,2026-07-07,none,Pay INR 32828.74 today and the remaining INR 311071.26 on 2026-07-07. This completes the full request and keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16. None of the available options keeps the INR 36100 minimum protected.
request_65,8359.38,affordable_with_plan,partial_payment,2025-11-06:8359.38|2025-11-06:45980.62,2025-11-06,none,Pay ZAR 8359.38 today and the remaining ZAR 45980.62 on 2025-11-06. This completes the full request and keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,608.7,not_affordable,not_recommended,none,,none,"Do not proceed with USD 2094 by 2024-11-15. Although USD 608.7 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 1200 minimum."
request_68,1631,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-07,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available over the next 90 days.
request_70,59952.21,not_affordable,not_recommended,none,,none,"Do not proceed with INR 243900 by 2025-02-15. Although INR 59952.21 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 115000 minimum."
request_71,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8884800 minimum protected.
request_72,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-14. None of the available options keeps the ZAR 12200 minimum protected.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available."
request_76,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. This leaves at least INR 55200 available over the next 90 days.
request_79,856.13,affordable_with_plan,partial_payment,2024-09-04:856.13|2024-09-04:1295.47,2024-09-04,none,Pay EUR 856.13 today and the remaining EUR 1295.47 on 2024-09-04. This completes the full request and keeps the EUR 1000 minimum protected.
request_80,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-21. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,1102.4,not_affordable,not_recommended,none,,none,"Do not proceed with USD 1405.2 by 2025-02-15. Although USD 1102.4 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 1100 minimum."
request_83,9740.32,not_affordable,not_recommended,none,,none,"Do not proceed with INR 156200 by 2025-06-17. Although INR 9740.32 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 37800 minimum."
request_84,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15. None of the available options keeps the INR 91300 minimum protected.
request_85,2422120,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 19304000 by 2024-04-26. Although IDR 2422120 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 6396300 minimum."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,48709.32,not_affordable,not_recommended,none,,none,"Do not proceed with INR 487900 by 2026-03-15. Although INR 48709.32 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 185900 minimum."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-07,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available."
request_89,10945379.21,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,"Use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,728.87,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 1927.2 by 2024-11-15. Although EUR 728.87 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 2100 minimum."
request_92,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-14. None of the available options keeps the ZAR 28100 minimum protected.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,59625.17,not_affordable,not_recommended,none,,none,"Do not proceed with INR 553000 by 2025-07-14. Although INR 59625.17 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 145500 minimum."
request_96,59822.07,not_affordable,not_recommended,none,,none,"Do not proceed with INR 90200 by 2026-03-12. Although INR 59822.07 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 56500 minimum."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-05,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available."
request_98,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30000 minimum protected.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days.
request_100,29616.17,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-06,none,"Use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,21711.66,not_affordable,not_recommended,none,,none,"Do not proceed with INR 368300 by 2024-10-07. Although INR 21711.66 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 125500 minimum."
request_104,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 24700 minimum protected.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,1064.54,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 2207.7 by 2025-02-15. Although EUR 1064.54 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 1200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1600 minimum protected.
request_108,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24100 minimum protected.
request_109,817.23,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-04,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-14. None of the available options keeps the EUR 500 minimum protected.
request_113,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-10-19. None of the available options keeps the INR 82300 minimum protected.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This leaves at least INR 113400 available over the next 90 days.
request_115,16371.71,not_affordable,not_recommended,none,,none,"Do not proceed with INR 80500 by 2024-11-15. Although INR 16371.71 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 38800 minimum."
request_116,27680.16,not_affordable,not_recommended,none,,none,"Do not proceed with INR 241200 by 2025-04-16. Although INR 27680.16 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 80300 minimum."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,70146.78,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-05-04,none,"Use 3 installments of INR 70546.67, starting 2025-05-18. This leaves at least INR 151200 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-04,none,"Use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available."
request_125,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-14. None of the available options keeps the ZAR 11300 minimum protected.
request_126,116907.11,not_affordable,not_recommended,none,,none,"Do not proceed with INR 159600 by 2026-07-17. Although INR 116907.11 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 129700 minimum."
request_127,15368.22,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 23980 by 2024-10-18. Although ZAR 15368.22 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 41000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,154.54,not_affordable,not_recommended,none,,none,"Do not proceed with USD 2668.8 by 2026-06-18. Although USD 154.54 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 800 minimum."
request_130,663.31,not_affordable,not_recommended,none,,none,"Do not proceed with USD 1978.8 by 2025-02-15. Although USD 663.31 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 1400 minimum."
request_131,1498.29,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. This leaves at least USD 1100 available over the next 90 days.
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 15770000 by 2024-03-29. Although IDR 15770000 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 9986200 minimum."
request_134,7343943.67,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 21831000 by 2025-10-15. Although IDR 7343943.67 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 15902500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 today. This leaves at least USD 1100 available over the next 90 days.
request_137,36357.58,not_affordable,not_recommended,none,,none,"Do not proceed with INR 80100 by 2026-01-15. Although INR 36357.58 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 71800 minimum."
request_138,1117.9,affordable_with_plan,partial_payment,2026-04-07:1117.9|2026-04-07:139.04,2026-04-07,none,Pay EUR 1117.9 today and the remaining EUR 139.04 on 2026-04-07. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,2035.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-04,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available."
request_140,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21600 minimum protected.
request_141,33874.66,affordable_with_plan,partial_payment,2026-01-03:33874.66|2026-01-03:137725.34,2026-01-03,none,Pay INR 33874.66 today and the remaining INR 137725.34 on 2026-01-03. This completes the full request and keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 1700 available over the next 90 days.
request_143,4517.2,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 12584 by 2025-07-15. Although ZAR 4517.2 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 11300 minimum."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the USD 600 minimum protected.
request_145,105613.66,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-06,none,"Use 3 installments of INR 75365.33, starting 2024-03-20. This leaves at least INR 155400 available."
request_146,27847.22,not_affordable,not_recommended,none,,none,"Do not proceed with INR 449400 by 2025-10-17. Although INR 27847.22 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 108600 minimum."
request_147,548.58,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-05,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available."
request_148,10459.85,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-07,none,"Use 3 installments of ZAR 7710.56, starting 2024-06-14. This leaves at least ZAR 20000 available."
request_149,27842.7,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,"Use 3 installments of ZAR 12706.03, starting 2025-11-18. This leaves at least ZAR 42100 available."
request_150,406.54,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,13185.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available."
request_153,326.65,not_affordable,not_recommended,none,,none,"Do not proceed with USD 2830.8 by 2026-09-24. Although USD 326.65 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 1400 minimum."
request_154,577.25,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 1625.8 by 2025-02-14. Although EUR 577.25 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 1300 minimum."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,10841.2,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 43076 by 2026-06-15. Although ZAR 10841.2 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 26900 minimum."
request_157,10091850,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 23503000 by 2024-05-15. Although IDR 10091850 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 15714100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 2025-08-07. This leaves at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This leaves at least ZAR 8700 available over the next 90 days.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-06,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23010400 minimum protected.
request_162,4603254.21,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 83923000 by 2026-08-26. Although IDR 4603254.21 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 24161100 minimum."
request_163,13194545.81,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This leaves at least IDR 26728700 available."
request_164,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the IDR 29550500 minimum protected.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,49380,affordable_with_plan,installments,2026-01-14:17118.4|2026-02-13:17118.4|2026-03-15:17118.4,2026-01-07,none,"Use 3 installments of INR 17118.4, starting 2026-01-14. This leaves at least INR 114400 available."
request_169,16367.77,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 41976 by 2024-05-16. Although ZAR 16367.77 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 18700 minimum."
request_170,34633492.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 24715800 available."
request_171,114.07,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 1878.8 by 2026-09-10. Although EUR 114.07 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 500 minimum."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 2024-06-05. This leaves at least ZAR 27200 available."
request_173,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-17. None of the available options keeps the INR 79100 minimum protected.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 1400 available."
request_179,28112069.84,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 41648000 by 2025-07-15. Although IDR 28112069.84 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 41430800 minimum."
request_180,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-02. None of the available options keeps the INR 37300 minimum protected.
request_181,574.57,not_affordable,not_recommended,none,,none,"Do not proceed with USD 5059.2 by 2024-04-07. Although USD 574.57 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 2000 minimum."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
